query_type,query,df_command,col_1,col_2
Sorting & Ranking,Show customers in increasing order of revenue.,"df.sort_values(by='revenue', ascending=True)",customers,revenue
Sorting & Ranking,Display employees in order of decreasing units_sold.,"df.sort_values(by='units_sold', ascending=False)",employees,units_sold
Sorting & Ranking,Get the highest sales values for each employees.,"df.sort_values(by='sales', ascending=False)",employees,sales
Sorting & Ranking,Find top 3 stores with highest rating.,"df.sort_values(by='rating', ascending=False).head(3)",stores,rating
Sorting & Ranking,Get the highest sales values for each departments.,"df.sort_values(by='sales', ascending=False)",departments,sales
Sorting & Ranking,Find top 3 departments with highest units_sold.,"df.sort_values(by='units_sold', ascending=False).head(3)",departments,units_sold
Sorting & Ranking,List the lowest revenue values grouped by stores.,"df.sort_values(by='revenue', ascending=True)",stores,revenue
Sorting & Ranking,Show customers in increasing order of profit.,"df.sort_values(by='profit', ascending=True)",customers,profit
Sorting & Ranking,Rank departments by units_sold.,df['units_sold_rank'] = df['units_sold'].rank(ascending=False),departments,units_sold
Sorting & Ranking,Get the highest profit values for each stores.,"df.sort_values(by='profit', ascending=False)",stores,profit
Sorting & Ranking,Rank employees by expenses.,df['expenses_rank'] = df['expenses'].rank(ascending=False),employees,expenses
Sorting & Ranking,Show customers sorted by profit ascending.,"df.sort_values(by='profit', ascending=True)",customers,profit
Sorting & Ranking,Show stores sorted by sales ascending.,"df.sort_values(by='sales', ascending=True)",stores,sales
Sorting & Ranking,Rank stores by expenses.,df['expenses_rank'] = df['expenses'].rank(ascending=False),stores,expenses
Sorting & Ranking,Display stores in order of decreasing expenses.,"df.sort_values(by='expenses', ascending=False)",stores,expenses
Sorting & Ranking,Get bottom 10 stores based on sales.,"df.sort_values(by='sales', ascending=True).head(10)",stores,sales
Sorting & Ranking,Get bottom 10 customers based on units_sold.,"df.sort_values(by='units_sold', ascending=True).head(10)",customers,units_sold
Sorting & Ranking,Rank products by profit.,df['profit_rank'] = df['profit'].rank(ascending=False),products,profit
Sorting & Ranking,Sort customers by profit in descending order.,"df.sort_values(by='profit', ascending=False)",customers,profit
Sorting & Ranking,List top 5 employees by profit.,"df.sort_values(by='profit', ascending=False).head(5)",employees,profit
Sorting & Ranking,Get bottom 10 products based on profit.,"df.sort_values(by='profit', ascending=True).head(10)",products,profit
Sorting & Ranking,Find top 3 departments with highest units_sold.,"df.sort_values(by='units_sold', ascending=False).head(3)",departments,units_sold
Sorting & Ranking,Display products in order of decreasing rating.,"df.sort_values(by='rating', ascending=False)",products,rating
Sorting & Ranking,Get the highest rating values for each stores.,"df.sort_values(by='rating', ascending=False)",stores,rating
Sorting & Ranking,Show customers in increasing order of sales.,"df.sort_values(by='sales', ascending=True)",customers,sales
Sorting & Ranking,List the lowest revenue values grouped by products.,"df.sort_values(by='revenue', ascending=True)",products,revenue
Sorting & Ranking,Find top 3 employees with highest expenses.,"df.sort_values(by='expenses', ascending=False).head(3)",employees,expenses
Sorting & Ranking,Sort stores by sales in descending order.,"df.sort_values(by='sales', ascending=False)",stores,sales
Sorting & Ranking,Sort stores by revenue in descending order.,"df.sort_values(by='revenue', ascending=False)",stores,revenue
Sorting & Ranking,Find top 3 products with highest sales.,"df.sort_values(by='sales', ascending=False).head(3)",products,sales
Sorting & Ranking,Rank products by rating.,df['rating_rank'] = df['rating'].rank(ascending=False),products,rating
Sorting & Ranking,Rank departments by profit.,df['profit_rank'] = df['profit'].rank(ascending=False),departments,profit
Sorting & Ranking,Get bottom 10 employees based on units_sold.,"df.sort_values(by='units_sold', ascending=True).head(10)",employees,units_sold
Sorting & Ranking,Display customers in order of decreasing expenses.,"df.sort_values(by='expenses', ascending=False)",customers,expenses
Sorting & Ranking,Get bottom 10 employees based on revenue.,"df.sort_values(by='revenue', ascending=True).head(10)",employees,revenue
Sorting & Ranking,Sort customers by profit in descending order.,"df.sort_values(by='profit', ascending=False)",customers,profit
Sorting & Ranking,List the lowest profit values grouped by employees.,"df.sort_values(by='profit', ascending=True)",employees,profit
Sorting & Ranking,List the lowest revenue values grouped by employees.,"df.sort_values(by='revenue', ascending=True)",employees,revenue
